Slide_code,Year,Site,meanLi7,meanNa23,meanMg24,meanAl27,meanP31,meanK39,meanMn55,meanFe57,meanCu65,meanZn66,meanRb85,meanSr88,meanBa138
S1B8,2020,Canadian Creek,7.418389615032943e-4,18.87797137728023,0.07605040199098387,1.1265311380845401e-4,0.5116484851957572,4.839926926159343,0.05026035260366177,0.03584253502311738,8.559488385375254e-5,0.10203508597349911,6.475815666945807e-4,1.4913218228095015,0.006305371355901448
S1B9,2020,Jimmys Creek,0.00127855326579364,19.51718577610948,0.06515168928412925,2.0002739305404835e-4,0.3976547826586236,4.999101098881952,0.021686796525344658,0.035934997263728057,5.9290094272481135e-5,0.11979254108647606,4.1863230553726633e-4,2.3229749969874525,0.03371284674340053
S1B9,2020,Jimmys Creek,0.00127855326579364,19.51718577610948,0.06515168928412925,2.0002739305404835e-4,0.3976547826586236,4.999101098881952,0.021686796525344658,0.035934997263728057,5.9290094272481135e-5,0.11979254108647606,4.1863230553726633e-4,2.3229749969874525,0.03371284674340053
S1C1,2020,Benger Burn,0.001242560246333674,16.88587567208524,0.16679643859455293,0.007130587433134592,0.8932512872683979,4.012474388941911,0.024820649516921246,0.06105680700543065,5.096537749800656e-4,0.12082137418029891,3.5788704551515543e-4,1.4877891733645634,0.0045565227401571685
S1C10,2020,Blackcleugh Burn,0.0010878781459715222,18.89372605286154,0.08236722223477654,1.029637598011775e-4,0.5002406919817578,7.213146398928817,0.024637469361940084,0.0353781616434084,3.487067930535472e-5,0.12184879029881623,7.033073283739607e-4,2.0969055706517645,0.011868283261461334
S1C11,2020,Carsons Creek,0.0013502172627728125,17.841132822885115,0.07519258927943008,7.117905948571001e-5,0.25616282864856504,4.583563392716868,0.011660505364701838,0.03477915482302584,5.535194189891779e-5,0.10929647123351263,4.42175253418383e-4,1.5470599926644473,0.00593409589765715
S1C12,2020,Back Stream,0.0012022493171808507,19.233268935063233,0.10176689569316334,1.0425283496559964e-4,0.3328500759546475,6.335441140228474,0.021725729716840565,0.033677452574234434,3.729643025639047e-5,0.10607159636798498,0.0016210584772187722,2.805772617075118,0.037369184029530614
S1C13,2020,Back Stream,0.0010744871749989945,18.438299375426897,0.09937706818049387,1.2077303498149603e-4,0.4033535878435067,5.987031078415122,0.02115721090146524,0.03317077916472033,3.929579044731336e-5,0.10036991238760332,0.00138842887703438,2.626040207338565,0.03268070699744088
S1C14,2020,Crookston Burn,2.019448987007972e-4,18.23064717093082,0.07287582552523608,1.2714572660510963e-4,0.2708826838168089,4.845394385797162,0.005278918448381771,0.0334402912402121,3.733798378072497e-5,0.08837196091875145,5.162930689276835e-4,1.2395445043983189,0.0035940604471730543
S1C15,2020,Leithen Burn,0.0010970818913287265,16.104683115571003,0.07479117075701455,0.0026988310017353676,0.6002796836668213,4.76813857537083,0.007902381702926233,0.03215936638411339,1.6175661528697145e-4,0.0789399560636183,7.639524352259098e-4,1.952054361565922,0.005073692519455674
S1C16,2020,Flodden Stream,2.5456114965207105e-4,16.797424829977224,0.06271252168904687,3.043199881497195e-4,0.5004042280795497,4.4042519312801724,0.005165767103865365,0.03294200878777508,1.0023895169730358e-4,0.0549632833496483,2.6597132065933274e-4,1.7401452931057855,0.013820728849244526
S1C17,2020,Heriot Burn,3.429202731664347e-4,18.248422485424484,0.099969066799566,3.053567321797642e-4,0.3982980276398985,4.740460755774872,0.018158644916531918,0.032073813435710606,9.2377050468025e-5,0.10115506862278108,4.985775949129083e-4,1.8416172023226738,0.008309013687552763
S1C18,2020,Heriot Burn,0.001016377296133766,18.87458043120308,0.0887657333324283,1.1871187849311935e-4,0.54257812156962,5.910012367162392,0.012539374671433356,0.03182284657403355,3.808032894066427e-5,0.10260419353220776,6.495361881411735e-4,2.013958480772417,0.0095547556032086
S1C18,2020,Heriot Burn,0.001016377296133766,18.87458043120308,0.0887657333324283,1.1871187849311935e-4,0.54257812156962,5.910012367162392,0.012539374671433356,0.03182284657403355,3.808032894066427e-5,0.10260419353220776,6.495361881411735e-4,2.013958480772417,0.0095547556032086
S1C19,2020,Whiskey Gully Stream,4.023980957854345e-4,16.153510864825122,0.12224686981538549,1.3469722505790276e-4,0.8638230636369175,3.8893044054221733,0.004327590009172737,0.032552626146463225,5.365722467593323e-5,0.09827376819085487,5.816876141230403e-4,1.7772498804997816,0.016585018966881783
S1C19,2020,Whiskey Gully Stream,4.023980957854345e-4,16.153510864825122,0.12224686981538549,1.3469722505790276e-4,0.8638230636369175,3.8893044054221733,0.004327590009172737,0.032552626146463225,5.365722467593323e-5,0.09827376819085487,5.816876141230403e-4,1.7772498804997816,0.016585018966881783
S1C19,2020,Whiskey Gully Stream,4.023980957854345e-4,16.153510864825122,0.12224686981538549,1.3469722505790276e-4,0.8638230636369175,3.8893044054221733,0.004327590009172737,0.032552626146463225,5.365722467593323e-5,0.09827376819085487,5.816876141230403e-4,1.7772498804997816,0.016585018966881783
S1C19,2020,Whiskey Gully Stream,4.023980957854345e-4,16.153510864825122,0.12224686981538549,1.3469722505790276e-4,0.8638230636369175,3.8893044054221733,0.004327590009172737,0.032552626146463225,5.365722467593323e-5,0.09827376819085487,5.816876141230403e-4,1.7772498804997816,0.016585018966881783
S1C2,2020,Waitahuna River,7.330110664226472e-4,15.928407914952867,0.11796341577206754,0.004105926889804406,0.4668547526845433,3.434139940347673,0.0371208898474858,0.07519217210180644,1.953146772353087e-4,0.09059788614404941,5.380993553329545e-4,1.751353671353688,0.005237320194974247
S1C2,2020,Waitahuna River,7.330110664226472e-4,15.928407914952867,0.11796341577206754,0.004105926889804406,0.4668547526845433,3.434139940347673,0.0371208898474858,0.07519217210180644,1.953146772353087e-4,0.09059788614404941,5.380993553329545e-4,1.751353671353688,0.005237320194974247
