File,meanLi7,semLi7,meanNa23,semNa23,meanMg24,semMg24,meanAl27,semAl27,meanP31,semP31,meanK39,semK39,meanMn55,semMn55,meanFe57,semFe57,meanCu65,semCu65,meanZn66,semZn66,meanRb85,semRb85,meanSr88,semSr88,meanBa138,semBa138
S2G7.txt,7.425466276331984e-4,6.800296626689658e-5,14.058325532005746,0.12132234314893094,0.1973449252291887,0.013805311607163768,3.451128774134407e-4,4.566415983823747e-5,5.696767489020441,0.7987148824922358,4.4314729736779155,0.06895544602538253,0.05658141856770746,0.001355455838469469,0.05020980474691326,0.001998694471091704,2.5509644166563225e-4,2.9120628901714433e-5,0.08820840987577075,0.0022691291682892262,4.968912071050049e-4,1.5088756376965477e-5,1.1972272585970567,0.012220580314667532,0.005149700077321096,6.701625805998705e-5
S2G8 2.txt,6.06028168748019e-4,6.102791493426625e-5,15.887438915635961,0.1455862958691597,0.1076157107511667,0.002498834661929638,1.4760980269875427e-4,1.6138838032531357e-5,1.0783431230694958,0.03615693902362366,5.171938962721982,0.0478040932764858,0.009071869644024708,1.9863134711698406e-4,0.03860499744724907,6.363391632978937e-4,1.0655222567858035e-4,8.993739846469155e-6,0.07493730659999395,0.001868023636183044,8.072979913770001e-4,9.872894053460058e-6,1.6566308633433249,0.01881162449380909,0.009952294089238777,1.2452924941353956e-4
S2G8.txt,6.06028168748019e-4,6.102791493426625e-5,15.887438915635961,0.1455862958691597,0.1076157107511667,0.002498834661929638,1.4760980269875427e-4,1.6138838032531357e-5,1.0783431230694958,0.03615693902362366,5.171938962721982,0.0478040932764858,0.009071869644024708,1.9863134711698406e-4,0.03860499744724907,6.363391632978937e-4,1.0655222567858035e-4,8.993739846469155e-6,0.07493730659999395,0.001868023636183044,8.072979913770001e-4,9.872894053460058e-6,1.6566308633433249,0.01881162449380909,0.009952294089238777,1.2452924941353956e-4
S2G9.txt,0.0012763606915727193,1.8434517472904743e-4,16.522213867580138,0.13905629908380138,0.11606520663271433,0.0032483335950601166,1.5328057236902812e-4,1.9232030206607538e-5,1.3384849248421615,0.05417895887887379,6.686917597180637,0.07757696098292377,0.00940299167215159,1.6355807999221075e-4,0.03625716675620929,5.442119365479895e-4,4.6533826428035424e-5,6.361579651106814e-6,0.13137320875256078,0.001663948849867684,7.311723634512017e-4,1.1897051734237745e-5,1.0632754662594706,0.010985331158077899,0.004803214183475293,1.442700700515619e-4
S2H1.txt,4.334497634083358e-4,6.16696338211554e-5,15.393700506251657,0.12060579019560007,0.07417130789094178,7.697461126307051e-4,1.331456849093128e-4,1.8444249060514263e-5,0.5103759920506583,0.008151259619388996,4.267651162004771,0.02361123341481541,0.006752819052345588,1.0030713049597648e-4,0.0771194891572168,8.491877293628305e-4,8.993854479234117e-5,6.6396478960994705e-6,0.05890702805804766,0.0011853653632033511,8.539791276924989e-4,8.198256128782427e-6,1.7749316520809169,0.015836303348467647,0.0015593685961800244,1.585148223217162e-5
S2H10 7.txt,6.495454955617946e-4,5.46551932963073e-5,15.754589051647699,0.12581930167105362,0.07431380757902167,0.0012075913438699193,1.7955977828201032e-4,7.86237447795015e-5,0.7048753516505664,0.02005649865568179,5.1720226960028155,0.0392825099549859,0.0021853506602455596,5.560776585769901e-5,0.035896670711128016,4.741837605830468e-4,8.941512416882226e-5,6.39689113964759e-6,0.08054490155513619,0.0016957197255642778,0.001014213090779829,1.1537518991254608e-5,2.3032341450390876,0.023871510923557413,0.0184090063452978,1.662416402188043e-4
S2H10 8.txt,6.495454955617946e-4,5.46551932963073e-5,15.754589051647699,0.12581930167105362,0.07431380757902167,0.0012075913438699193,1.7955977828201032e-4,7.86237447795015e-5,0.7048753516505664,0.02005649865568179,5.1720226960028155,0.0392825099549859,0.0021853506602455596,5.560776585769901e-5,0.035896670711128016,4.741837605830468e-4,8.941512416882226e-5,6.39689113964759e-6,0.08054490155513619,0.0016957197255642778,0.001014213090779829,1.1537518991254608e-5,2.3032341450390876,0.023871510923557413,0.0184090063452978,1.662416402188043e-4
S2H11.txt,3.757050302952368e-4,4.777167648551779e-5,15.250502468192046,0.14468639232962616,0.08543404049656596,0.0014558149082034204,1.143298759846951e-4,1.3997916167383349e-5,0.7839608890982466,0.021271354686892195,4.56067235383324,0.0388788618536108,0.027897036601755826,4.941992101747701e-4,0.035076286697762527,5.926948690374321e-4,7.131900979732337e-5,6.105094170754468e-6,0.05749285134674188,0.0011167418456510558,6.287328590927283e-4,9.217441114769801e-6,1.6689240874919038,0.019298630635656774,0.004458215632042663,1.0799151905706843e-4
S2H12 7.txt,5.049648868486891e-4,5.39683636424292e-5,16.66416227585878,0.13253777789830595,0.12549119182951013,0.0018085320183936179,9.334633983228453e-5,1.2941248085993628e-5,0.7333997487708049,0.012029831351711973,5.266968451859027,0.04223561505678235,0.035284018395085784,5.787480613404268e-4,0.03447102032053913,5.607202427843081e-4,4.367475880032387e-5,4.918684208830882e-6,0.11393388716936956,0.0014905294824948021,8.065431669905595e-4,8.472758987215021e-6,1.7058762650137824,0.019715509893095468,0.004826241389105015,5.0268362850636135e-5
S2H12 8.txt,5.049648868486891e-4,5.39683636424292e-5,16.66416227585878,0.13253777789830595,0.12549119182951013,0.0018085320183936179,9.334633983228453e-5,1.2941248085993628e-5,0.7333997487708049,0.012029831351711973,5.266968451859027,0.04223561505678235,0.035284018395085784,5.787480613404268e-4,0.03447102032053913,5.607202427843081e-4,4.367475880032387e-5,4.918684208830882e-6,0.11393388716936956,0.0014905294824948021,8.065431669905595e-4,8.472758987215021e-6,1.7058762650137824,0.019715509893095468,0.004826241389105015,5.0268362850636135e-5
S2H13.txt,0.0011525295070282447,6.755392525310739e-5,17.113094189324705,0.1311070513000686,0.12289680519393453,0.0012110858970216297,1.0803081866119749e-4,1.4094593278554191e-5,0.5365386376440701,0.007059523912541339,4.89211252704705,0.04175497291261231,0.02004289293302613,4.6697952036833015e-4,0.03435567151580267,5.311831355845999e-4,4.519236931517374e-5,5.354741260310759e-6,0.08117907194195234,8.619710182983203e-4,5.16104163072879e-4,7.068037305001759e-6,1.4516143433701365,0.014060741912455777,0.0052879178688800856,9.352733644894313e-5
S2H14.txt,9.604456817363463e-4,7.858258769605423e-5,13.863506704216928,0.09240509796664603,0.04951291284513537,7.076170583945469e-4,8.188031735312545e-5,1.3198483089984902e-5,0.5062895155401194,0.005906968425592415,4.481365630356836,0.029968845870335672,0.0128365358522297,4.111054641169466e-4,0.032486047683603955,4.8047195248897365e-4,7.002562609806941e-5,5.996178078564641e-6,0.0718390368267552,0.001224223805296877,4.2165587410346946e-4,5.852605410778205e-6,1.8300676836524121,0.015370140894599354,0.010510634631360273,2.7037424489813864e-4
S2H15.txt,6.144631754446653e-4,1.806838890678496e-4,14.259707927553729,0.12280312689820302,0.10478566889852624,0.003240919040295385,9.114254029821619e-5,1.4589799879598079e-5,1.2729807476880821,0.06753046966023521,4.72684711228503,0.04445034838778839,0.015591556473772267,3.147960989075896e-4,0.03258723839174146,4.8420555822948404e-4,6.859270630463786e-5,6.488322122222913e-6,0.05290790444843629,0.0011233880708411365,5.292714735551014e-4,8.663423840043095e-6,1.8712411281989485,0.021118816599986958,0.010467169633383493,1.6682791943279824e-4
